Capacity_MW_,Latitude,Longitude,Albedo,MeanAAI,VegetationRatio,PopulationDensity,ProtectedAreaRatio,SlopeTopography,CloudCover,Surface Temperature,AverageDownwardRadiation,Unnamed: 12,Unnamed: 13,MinAlbedo,0,Unnamed: 16,AlbWeight,-2,Unnamed: 19,Cumulative Weight,Min,Normalised Cumulative Weight
0.314802632,36.716,-120.41,224.4641673,-0.385294054,0.027800187,189.7444225,0,0.033722594,0.30937679,10.73214355,9263032.857,,,,,,,,,0.03680557,,0.033102921
0.387695956,47.3435,123.9726,188.0567739,-0.134417884,0.361609088,14784.04647,0,0.092189208,0.484684467,10.75138374,12800886.79,,,,,,,,,4.861591655,,0.417068626
0.387695956,46.7094,125.0578,188.0567739,-0.134417884,0.361609088,14784.04647,0,0.092189208,0.484684467,10.75138374,12800886.79,,,,,,,,,0.03680557,,0.033102921
0.450704793,46.2909,123.7283,280.0020557,-0.013686064,0.005652984,155.3490272,0,0.023061518,0.5431928,10.76407452,13188296.61,,,,,,,,,4.861591655,,0.417068626
0.476173215,46.6527,126.9714,239.807476,-0.087471673,0.00913966,164.561179,0,0.023895821,0.588622182,10.78895319,13291276.23,,,,,,,,,-0.121517455,,0.020503272
0.450456938,48.5229,126.221,274.6280784,-0.05517255,0.035399367,127.0487426,0,0.01877914,0.545967155,10.93199242,13145662.86,,,,,,,,,0.026677545,,0.032296913
0.563073886,41.1599,114.717,125.597709,-0.413393618,0,8.986023253,0,0.269399107,0.544401889,10.98681525,14634084.23,,,,,,,,,-0.019905422,,0.028589752
0.462636165,48.0001,128.0001,262.4569109,-0.031408616,0.020054785,129.3384742,0,0.01877914,0.556668223,10.98723292,13294364.9,,,,,,,,,4.109594912,,0.357223287
0.489593096,31.5348,-100.1138,226.5915086,-0.453866992,0,0.001755063,0,0.368848085,0.54869425,11.01600402,13012383.48,,,,,,,,,4.109594912,,0.357223287
0.461054228,48.0001,128.0001,261.7718058,-0.029247577,0.044290724,129.5420239,0,0.01877914,0.560161983,11.02781885,13288096.91,,,,,,,,,4.109594912,,0.357223287
0.310431189,46.548,-84.281,297.7266433,-0.197286304,0.001531992,0.697042458,0,0.019479876,0.402442764,11.50427648,9082310.436,,,,,,,,,4.109594912,,0.357223287
0.470803648,48.0001,128.0001,257.0571137,-0.048536178,0,315.4483931,0,0.00738164,0.549889931,11.65998934,13296427.36,,,,,,,,,4.109594912,,0.357223287
